"scenario","replicate","item","intervals","chisq","chisq_p_boot","chisq_p_boot_adj","n_boot_chisq","fit_resid","fit_resid_p_boot","fit_resid_p_boot_adj","n_boot_fit_resid","infit_ms","infit_ms_p_boot","infit_ms_p_boot_adj","n_boot_infit_ms","outfit_ms","outfit_ms_p_boot","outfit_ms_p_boot_adj","n_boot_outfit_ms","infit_z","infit_z_p_boot","infit_z_p_boot_adj","n_boot_infit_z","outfit_z","outfit_z_p_boot","outfit_z_p_boot_adj","n_boot_outfit_z","n_boot","script","script_md5","package_sha","r_tree_md5","executed","harness_md5","algorithm"
"linked booklets",3,"I01",3,3.77539728840071,0.149750415973378,1,600,1.14912835961299,0.103161397670549,1,600,1.1630565446182,0.0599001663893511,0.838602329450915,600,1.20215571410951,0.0898502495840266,1,600,1.91273838961848,0.0831946755407654,1,600,1.28438025676239,0.103161397670549,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",3,"I02",3,2.99132585363819,0.249584026622296,1,600,0.0274824068135766,0.905158069883527,1,600,0.994314936055478,0.252911813643927,1,600,0.993303501335658,0.901830282861897,1,600,-0.0452108690244432,0.252911813643927,1,600,0.00325662246901759,0.908485856905158,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",3,"I03",3,1.41226157141478,0.580698835274542,1,600,-0.6178216658653,0.349417637271215,1,600,1.03651272884745,0.712146422628952,1,600,0.918261608863186,0.349417637271215,1,600,0.538656487635954,0.722129783693844,1,600,-0.666755831797179,0.346089850249584,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",3,"I04",3,0.133243271388075,0.970049916805324,1,600,0.507393130252222,0.70216306156406,1,600,1.08909347499804,0.672212978369384,1,600,1.05980071085526,0.718801996672213,1,600,1.35163452177787,0.662229617304492,1,600,0.624241636606258,0.712146422628952,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",3,"I05",3,1.92018619886739,0.467554076539101,1,600,-0.454148350194581,0.386023294509151,1,600,1.03497838368294,0.718801996672213,1,600,0.959668157282488,0.389351081530782,1,600,0.556954410080505,0.722129783693844,1,600,-0.428796344411328,0.392678868552413,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",3,"I06",7,4.94248028782494,0.617304492512479,1,600,0.359533093361076,0.768718801996672,1,600,1.08283428146432,0.475873544093178,1,600,1.02842952897172,0.75873544093178,1,600,1.49022447345769,0.472545757071547,1,600,0.348980838076106,0.75873544093178,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",3,"I07",7,5.1298142965651,0.605657237936772,1,600,2.30148875370916,0.0166389351081531,0.249584026622296,600,1.1709286186423,0.0399334442595674,0.599001663893511,600,1.22487052164315,0.0133111480865225,0.199667221297837,600,3.06238872016794,0.0366056572379368,0.549084858569052,600,2.62311219584448,0.0166389351081531,0.249584026622296,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",3,"I08",7,15.6097460116551,0.021630615640599,0.324459234608985,600,-1.8045301462412,0.0166389351081531,0.249584026622296,600,0.959692380526875,0.0732113144758735,0.878535773710483,600,0.853409105317029,0.0166389351081531,0.232945091514143,600,-0.765812930696584,0.0732113144758735,1,600,-1.97357862471247,0.0166389351081531,0.249584026622296,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",3,"I09",7,3.39839012126511,0.838602329450915,1,600,0.246521917956601,0.935108153078203,1,600,1.04964323898993,0.941763727121464,1,600,1.01889769575652,0.945091514143095,1,600,0.952654771454913,0.945091514143095,1,600,0.261012345905483,0.941763727121464,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",3,"I10",7,2.79292232678797,0.888519134775374,1,600,0.068465168862024,0.941763727121464,1,600,1.05134414854734,0.858569051580699,1,600,1.00059788252426,0.948419301164726,1,600,0.95432371587827,0.868552412645591,1,600,0.0374303600615916,0.948419301164726,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
