"scenario","replicate","B","seed","status","message","warnings","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","same_data_max_error","imposed_count_max_error","min_intervals","max_intervals","total","chisq_marginal","chisq_familywise","fit_resid_marginal","fit_resid_familywise","infit_z_marginal","infit_z_familywise","outfit_z_marginal","outfit_z_familywise","script","script_md5","package_sha","r_tree_md5","executed","harness_md5","algorithm"
"linked booklets",61,600,6000061,"ok","","",600,600,0,0,0,12.164362953645,3,7,0,0,0,0.0666666666666667,0,0,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",62,600,6000062,"ok","","",600,600,0,0,0,5.69667406893105,3,7,0,0.0666666666666667,0,0.0666666666666667,0,0.0666666666666667,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",63,600,6000063,"ok","","",600,600,0,0,0,9.42500904778128,3,7,0,0.0666666666666667,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",64,600,6000064,"ok","","",600,600,0,0,0,5.82893328156938,3,7,0,0.0666666666666667,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",65,600,6000065,"ok","","",600,600,0,0,0,7.75624679986323,3,7,0,0.0666666666666667,1,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",66,600,6000066,"ok","","",600,600,0,0,0,8.57881121444236,3,7,0,0.0666666666666667,0,0.0666666666666667,0,0.133333333333333,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",67,600,6000067,"ok","","",600,600,0,0,0,5.00669002333514,3,7,0,0,0,0.0666666666666667,0,0.0666666666666667,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",68,600,6000068,"ok","","",600,600,0,0,0,8.4213911470192,3,7,0,0.0666666666666667,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",69,600,6000069,"ok","","",600,600,0,0,0,11.4938533829702,3,7,0,0.133333333333333,0,0.2,0,0.2,1,0.2,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",70,600,6000070,"ok","","",600,600,0,0,0,4.13302845344141,3,7,0,0.133333333333333,0,0.0666666666666667,0,0,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
